"","GC026126","GC026129","GC026123","GC026124","GC026127","GC026130"
"ABI1",402,482,438,695,250,350
"ABI2",1151,1393,1196,2063,925,1232
"ABI3",3,1,2,193,8,16
"ABI3BP",2373,1744,4611,7722,3756,8616
"ABL1",2384,2689,2606,2225,1212,1415
"ABL2",199,230,240,239,164,161
"ABLIM1",6877,6492,9157,7722,6583,6741
"ABLIM2",21,24,18,14,3,6
"ABLIM3",20,9,23,33,8,1
"ABO",0,0,1,0,5,2
"ABR",1682,1584,1717,1711,623,840
"ABRA",0,0,0,0,0,0
"ABRACL",129,155,99,169,40,155
"ABT1",265,327,261,350,166,157
"ABT1P1",0,0,0,0,0,0
"ABTB1",457,511,560,558,260,194
"ABTB2",38,57,32,69,10,25
"AC000003.1",0,0,0,0,0,0
"AC000029.1",0,0,0,0,0,0
"AC000032.2",0,0,0,0,0,0
"AC000035.3",0,2,2,0,4,0
"AC000036.4",0,0,0,0,0,0
"AC000041.10",0,0,0,0,0,1
"AC000041.8",0,0,0,0,0,0
"AC000067.1",0,0,0,0,0,0
"AC000068.10",7,7,9,5,4,15
"AC000068.5",42,38,28,29,39,20
"AC000068.9",10,21,20,1,13,18
"AC000077.2",0,0,0,0,0,0
"AC000078.5",0,0,1,7,0,0
"AC000081.2",0,0,0,0,0,0
"AC000089.3",3,2,1,1,1,0
"AC000095.11",0,0,0,0,0,0
"AC000095.9",0,0,0,0,3,0
"AC000099.1",0,0,0,0,0,0
"AC000111.3",0,0,0,0,0,0
"AC000111.4",0,0,0,0,0,0
"AC000111.5",0,0,0,0,0,0
"AC000111.6",0,0,0,0,0,0
"AC000120.7",1,1,0,3,0,1
"AC000123.2",31,21,22,19,28,15
"AC000123.3",7,2,2,0,1,3
"AC000123.4",0,0,0,0,0,0
"AC000124.1",0,0,0,0,1,0
"AC000354.1",0,0,0,0,0,0
"AC000362.1",0,0,0,0,0,0
"AC000367.1",2,0,0,0,0,0
"AC000370.2",0,0,0,0,0,0
"AC000374.1",0,0,0,0,0,0
"AC000403.1",0,0,0,0,0,0
"AC000403.4",34,38,35,13,20,7
"AC001226.7",0,0,1,0,0,0
"AC002044.1",0,1,0,4,0,0
"AC002044.3",0,0,0,0,0,0
"AC002044.4",0,0,0,0,0,0
"AC002056.3",0,0,0,0,0,0
"AC002056.5",0,0,0,0,0,0
"AC002059.10",5,2,3,2,4,0
"AC002064.4",0,0,0,0,0,0
"AC002064.5",2,4,4,0,0,0
"AC002064.7",0,0,0,0,0,0
"AC002066.1",0,0,0,0,1,2
"AC002069.5",0,0,0,1,0,0
"AC002069.6",0,0,0,0,0,0
"AC002070.1",0,0,0,0,0,0
"AC002072.1",0,0,0,0,0,0
"AC002075.3",0,0,0,0,0,0
"AC002075.4",2,3,1,0,0,0
"AC002076.10",0,1,0,0,0,0
"AC002115.5",0,0,0,0,0,0
"AC002115.9",0,0,0,0,0,0
"AC002116.7",1,1,1,3,2,2
"AC002116.8",0,0,0,0,0,0
"AC002117.1",3,2,9,12,2,0
"AC002127.2",0,0,0,0,0,0
"AC002127.4",0,0,0,0,0,0
"AC002128.5",0,0,0,0,0,2
"AC002306.1",0,0,1,0,0,3
"AC002310.10",0,0,0,0,0,0
"AC002310.11",0,0,0,0,0,0
"AC002310.12",24,39,19,80,28,41
"AC002310.13",0,0,0,0,0,0
"AC002310.14",9,10,6,10,5,10
"AC002310.17",0,0,0,0,0,0
"AC002310.7",4,3,4,0,0,0
"AC002314.4",1,0,0,0,0,0
"AC002331.1",1,0,0,0,0,0
"AC002366.1",0,0,0,0,0,0
"AC002366.3",0,0,0,0,0,0
"AC002368.4",0,0,0,0,0,0
"AC002383.2",0,0,0,0,0,0
"AC002386.1",0,0,0,0,0,0
"AC002389.1",0,0,0,0,0,0
"AC002395.1",1,0,0,0,0,0
"AC002398.11",0,0,0,0,0,0
"AC002398.12",0,0,0,0,0,0
"AC002398.13",0,2,1,3,2,0
"AC002398.9",0,0,0,0,0,0
"AC002400.1",0,0,0,0,0,0
"AC002401.1",0,0,1,0,0,0
"AC002429.1",0,0,0,0,0,0
"AC002429.4",0,0,0,0,0,0
"AC002429.5",0,0,0,0,0,0
"AC002451.3",2,0,0,0,2,2
"AC002454.1",1,3,1,0,1,0
"AC002456.2",69,35,66,45,15,63
"AC002463.3",0,0,0,0,0,1
"AC002464.1",0,0,0,0,0,0
"AC002465.2",0,0,0,0,0,0
"AC002467.7",54,37,22,73,27,26
"AC002472.11",0,0,0,0,0,0
"AC002480.2",0,0,0,0,0,0
"AC002480.3",2,1,1,0,4,3
"AC002480.4",0,0,0,0,1,0
"AC002480.5",0,0,0,0,0,0
"AC002486.2",0,0,0,0,0,0
"AC002486.3",0,0,0,0,0,0
"AC002511.2",0,0,0,0,0,0
"AC002511.3",0,0,0,0,0,0
"AC002519.6",0,0,1,5,0,2
"AC002519.8",1,1,3,0,3,1
"AC002523.1",0,0,0,0,0,0
"AC002530.1",0,0,0,0,0,0
"AC002539.1",0,0,0,0,0,0
"AC002539.2",0,0,0,0,0,0
"AC002542.2",0,0,0,0,0,0
"AC002543.2",0,0,0,0,0,0
"AC002550.5",0,0,0,0,0,0
"AC002550.6",2,2,1,4,1,1
"AC002551.1",0,0,0,0,0,0
"AC002553.4",0,0,0,0,0,0
"AC002558.1",0,0,0,0,0,0
"AC002978.1",0,0,0,0,0,0
"AC002979.1",1,0,0,0,0,0
"AC002981.1",0,0,0,0,0,0
"AC002984.2",0,0,0,0,0,0
"AC002985.3",0,0,0,0,0,0
"AC003001.1",0,0,0,0,0,0
"AC003002.4",0,0,0,0,0,0
"AC003002.6",2,4,2,4,4,6
"AC003003.5",0,0,0,12,1,0
"AC003005.2",3,3,2,2,1,1
"AC003005.4",0,0,0,0,0,0
"AC003006.1",0,0,0,0,0,0
"AC003006.7",0,0,0,0,0,0
"AC003009.1",0,0,0,0,0,0
"AC003045.1",0,0,0,0,0,0
"AC003075.4",46,37,28,49,14,11
"AC003080.4",3,1,0,1,0,0
"AC003084.2",0,0,0,0,0,0
"AC003088.1",1,0,0,0,0,0
"AC003090.1",0,0,2,7,1,6
"AC003092.1",0,0,0,0,0,0
"AC003092.2",0,0,0,0,0,0
"AC003101.1",0,0,0,0,0,0
"AC003104.1",0,0,0,0,0,0
"AC003658.1",0,0,0,0,0,0
"AC003664.1",0,0,0,0,0,0
"AC003666.1",0,0,0,0,0,0
"AC003681.1",0,0,0,0,0,0
"AC003682.16",0,0,0,0,0,0
"AC003682.17",0,0,0,0,0,0
"AC003688.1",0,0,0,0,0,0
"AC003956.1",0,0,3,0,2,0
"AC003958.2",0,0,0,0,0,0
